Gaokao2023-Math-En pass@8: 0.8000 (308/385)
minervamath pass@8: 0.6324 (172/272)
MATH-500 pass@8: 0.8700 (435/500)
gsm8k pass@8: 0.9697 (1279/1319)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 mean: 0.7351 (283/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 min: 0.7299 (281/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 max: 0.7065 (272/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 product: 0.7325 (282/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 geom_mean: 0.7325 (282/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.7091 (273/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 min: 0.6961 (268/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 max: 0.7195 (277/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 product: 0.6987 (269/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.7039 (271/385)
minervamath Qwen2.5-Math-PRM-7B@8 mean: 0.5404 (147/272)
minervamath Qwen2.5-Math-PRM-7B@8 min: 0.5404 (147/272)
minervamath Qwen2.5-Math-PRM-7B@8 max: 0.5000 (136/272)
minervamath Qwen2.5-Math-PRM-7B@8 product: 0.5368 (146/272)
minervamath Qwen2.5-Math-PRM-7B@8 geom_mean: 0.5331 (145/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.5037 (137/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 min: 0.5074 (138/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 max: 0.5074 (138/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 product: 0.5000 (136/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.5110 (139/272)
MATH-500 Qwen2.5-Math-PRM-7B@8 mean: 0.8160 (408/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 min: 0.8200 (410/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 max: 0.7720 (386/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 product: 0.8200 (410/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 geom_mean: 0.8140 (407/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.8000 (400/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 min: 0.7660 (383/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 max: 0.7860 (393/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 product: 0.7780 (389/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.8000 (400/500)
gsm8k Qwen2.5-Math-PRM-7B@8 mean: 0.9538 (1258/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 min: 0.9545 (1259/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 max: 0.9386 (1238/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 product: 0.9560 (1261/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 geom_mean: 0.9538 (1258/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.9484 (1251/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 min: 0.9378 (1237/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 max: 0.9462 (1248/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 product: 0.9462 (1248/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.9477 (1250/1319)
